BGRI2021,DT21,DTMN21,DTMNFR21,DTMNFRSEC2,SECNUM21,SSNUM21,SECSSNUM21,DT,CC,FR,SEC,SS,NUTS3_13,NUTS2_13,NUTS1_13,SUBSECCAO,N_EDIFICIO,N_EDIFIC_1,N_EDIFIC_2,N_EDIFIC_3,N_EDIFIC_4,N_EDIFIC_5,N_EDIFIC_6,N_EDIFIC_7,N_EDIFIC_8,N_EDIFIC_9,N_EDIFI_10,N_EDIFI_11,N_ALOJAMEN,N_ALOJAM_1,N_ALOJAM_2,N_ALOJAM_3,N_RHABITUA,N_RHABIT_1,N_RHABIT_2,N_RHABIT_3,N_AGREGADO,N_ADP_1_OU,N_ADP_3_OU,N_NUCLEOS_,N_NUCLEOS1,N_INDIVIDU,N_INDIVI_1,N_INDIVI_2,N_INDIVI_3,N_INDIVI_4,N_INDIVI_5,N_INDIVI_6,N_IND_ENSI,N_IND_EN_1,N_IND_EN_2,N_IND_EMPR,N_IND_REFO,svf_stdev,svf_min,svf_max,svf_varian,OBJECTID_1,BGRI2021_1,FREQUENCY,MEAN_altura,STD_altura,Shape_Length,Shape_Area,MBV,HVC,svf_mean
11151300504,11,1115,111513,111513005,005,04,00504,11,15,13,005,04,170,17,1,11151300504,20,0,20,18,0,20,0,20,0,0,0,2,176,176,151,25,6,4,85,49,151,106,45,85,39,314,153,161,35,27,159,93,152,75,49,126,89,0.261284118051014,-0.311244726181030,0.998615980148315,0.068269390345696,102,11151300504,21,16.545714285714279,2.941432595570689,486.773824989257889,12626.459150492555636,2936.589281172686242,0.177776102305257,0.564350875662069
11151700707,11,1115,111517,111517007,007,07,00707,11,15,17,007,07,170,17,1,11151700707,4,0,4,4,0,4,0,0,0,4,0,4,64,64,58,6,57,57,56,2,58,21,37,48,33,158,66,92,33,15,107,3,37,36,69,103,6,0.264062112920313,-0.366577208042145,0.993823230266571,0.069728799479940,726,11151700707,7,12.821428571428571,9.713384972245642,816.656845092375306,17170.981912696570362,6094.605056393646919,0.757589914269855,0.564964952640858
11151302801,11,1115,111513,111513028,028,01,02801,11,15,13,028,01,170,17,1,11151302801,5,0,5,4,0,5,0,0,0,5,0,0,106,106,95,11,47,95,87,4,95,42,53,70,58,255,123,132,70,25,149,11,61,51,97,143,11,0.264033934849730,-0.402340203523636,0.999374508857727,0.069713918752232,193,11151302801,9,17.524444444444448,14.699560462060685,459.507509480230453,11839.323630482227600,5651.508151709230333,0.838803221903032,0.477712716777684
11151300604,11,1115,111513,111513006,006,04,00604,11,15,13,006,04,170,17,1,11151300604,40,34,6,34,34,6,0,33,7,0,0,3,65,65,44,21,2,2,20,18,44,23,21,31,19,130,58,72,31,19,60,20,71,23,3,41,18,0.290604871175787,-0.243566781282425,0.999710023403168,0.084451191151096,106,11151300604,34,7.511470588235294,2.065286145488103,358.458120620278123,5441.874398090365503,565.134238772908247,0.274950972812544,0.620379579575155
11151200307,11,1115,111512,111512003,003,07,00307,11,15,12,003,07,170,17,1,11151200307,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,13,11,0,0,2,22,4,12,8,0,23,0.250865554543218,-0.390184968709946,0.999961018562317,0.062933526456277,14,11151200307,63,8.551587301587295,4.726025475457665,2532.429816152275635,259152.693380636541406,9837.319260663392924,0.552648918707811,0.733145670852836
11151303102,11,1115,111513,111513031,031,02,03102,11,15,13,031,02,170,17,1,11151303102,20,0,20,19,0,20,0,12,0,8,0,1,182,182,158,24,53,73,115,36,158,96,62,115,64,374,174,200,48,48,205,73,137,97,98,174,68,0.273124046251916,-0.289687961339951,0.996787548065186,0.074596744641019,212,11151303102,28,15.819285714285714,10.045580170024074,527.911035550941165,14654.679383940021580,3830.518777682922519,0.635021097125286,0.543411110173942
11151700708,11,1115,111517,111517007,007,08,00708,11,15,17,007,08,170,17,1,11151700708,7,0,7,7,0,7,0,0,0,7,0,4,92,92,85,7,81,85,71,9,85,42,43,60,45,219,106,113,52,21,139,7,39,46,97,126,9,0.211323269481098,-0.249044761061668,0.999183118343353,0.044657524224181,727,11151700708,7,19.011428571428571,1.494639628488292,1227.277984596219767,38377.711859873154026,7950.418977184921459,0.078617954609393,0.772068775474286
11151301307,11,1115,111513,111513013,013,07,01307,11,15,13,013,07,170,17,1,11151301307,36,30,6,34,31,5,0,32,4,0,0,4,59,59,51,8,9,15,23,18,51,35,16,29,15,119,52,67,23,10,66,20,54,22,6,50,21,0.267836873374853,-0.234003528952599,0.999466598033905,0.071736590739217,135,11151301307,31,8.038387096774194,1.963181256318750,490.174973125684403,14714.428832908826735,1547.771334285345119,0.244225767269478,0.617592245092314
11151700709,11,1115,111517,111517007,007,09,00709,11,15,17,007,09,170,17,1,11151700709,6,0,6,5,0,6,0,0,0,3,3,1,126,126,60,66,49,60,55,1,60,32,28,40,29,150,76,74,42,8,90,10,22,24,73,85,8,0.251218322620247,-0.357433259487152,0.999064683914185,0.063110645620130,728,11151700709,3,17.533333333333331,0.515008090551333,735.493523817491223,29987.650185344416968,12718.578521296954932,0.029373085012433,0.711739807941152
11151303002,11,1115,111513,111513030,030,02,03002,11,15,13,030,02,170,17,1,11151303002,8,0,8,8,0,8,0,0,0,6,2,0,173,173,165,8,150,163,149,9,165,83,82,120,78,425,200,225,104,31,267,23,71,85,186,239,28,0.263568434970287,-0.370066851377487,0.998571395874023,0.069468319912686,204,11151303002,12,15.205833333333331,13.075796140081478,646.895469719267339,11788.569492783151873,6597.293215027496444,0.859919733002563,0.538707692094562
